URL,チャンネル名,登録者数,総再生数,投稿数,軍事部系最後の投稿日,初投稿日,失踪期間,活動期間(day),投稿頻度(1/year),平均再生数,登録者増加数,前回調査以降の投稿数
https://www.youtube.com/channel/UCUVbZJbIVQ-3-wNttxNaZxw,コードネームベーコン,77,5429,29,2022/04/30,2022/01/08,111,223,47.47,187.2,77,0
https://www.youtube.com/channel/UCXMCabHL6iqb0R7lbvBKREA,パーファー合衆国,4,99,4,2022/02/15,2022/02/13,185,187,7.81,24.8,-1,2
https://www.youtube.com/channel/UCfzfVdZUAS-YyFjWX4OAbiA,天城朱雀,48,2121,4,2022/08/15,2019/05/19,4,1188,1.23,530.3,26,-25
https://www.youtube.com/channel/UCHZGCdnPV7tIYM4FKJXOBJw,Aruberu(荒らしには「はいはい。」),20,419,38,2021/11/18,2021/11/18,274,274,50.62,11.0,7,0
https://www.youtube.com/channel/UC_MiT-KLFClGE8HerlaQ1rg,パンターかも,23,0,0,2021/07/12,2021/07/12,403,403,0.00,#DIV/0!,23,-4
https://www.youtube.com/channel/UCfBs03eiPl7JT2Pv2d2TiLw,にいたかやま,18,0,0,2022/02/14,2022/02/14,186,186,0.00,#DIV/0!,7,-2
https://www.youtube.com/channel/UCRXh0Os7uagaRjC06tHqvYA,[マイクラ軍事部]霊夢重工業株式会社,13,398,2,2022/02/25,2021/08/15,175,369,1.98,199.0,2,0
https://www.youtube.com/channel/UCMtyCFFHa7a-_mHu_YkWOLA,Namahamu なまハム,4,740,4,2022/05/11,2022/02/20,100,180,8.11,185.0,3,1
https://www.youtube.com/channel/UCXxWBv-3R1I7v4dj_D2XvFQ,英国面に堕ちた大和好き,151,16041,30,2022/06/12,2022/02/19,68,181,60.50,534.7,133,14
https://www.youtube.com/channel/UCirIP6OijIqSneMb9PydcbQ,鳳風,29,5817,46,2022/06/12,2021/06/04,68,441,38.07,126.5,29,46
https://www.youtube.com/channel/UCI6ma2kl7dgGC-0IgXpm72g,sho moto,49,7479,15,2022/07/11,2018/07/29,39,1482,3.69,498.6,49,15
https://www.youtube.com/channel/UCxm0kjvjCUfwt_MJf6S8-9g,たなかZ,16,1060,35,2022/08/14,2021/08/04,5,380,33.62,30.3,16,35
https://www.youtube.com/channel/UCo2e5FycuVlNA93W6hkv7Qg,いくトール Block 1B,383,194611,81,2021/12/31,2021/04/28,231,478,61.85,2402.6,383,81
https://www.youtube.com/channel/UCPV5DDWn1A-VubIhV5frajg,Sith•Ken,25,416,4,2022/08/15,2022/03/17,4,155,9.42,104.0,25,4
https://www.youtube.com/channel/UCWGPNpqChRrB9vJOX2If9uw,バルト重工業(株),170,12737,26,2022/08/10,2022/03/29,9,143,66.36,489.9,170,26
https://www.youtube.com/channel/UCxkApfTS8iNxRxvfaQo2uBg,kakame,27,1135,4,2022/03/31,2021/12/01,141,261,5.59,283.8,27,4
https://www.youtube.com/channel/UCLjU44XJgZyPAnOcaDfwQPg,いくトール,112,25027,36,2020/02/14,2017/07/09,917,1867,7.04,695.2,112,36
https://www.youtube.com/channel/UCOJaRy_k2DRJ-CSe6o4fNjA,Niitakayama256,20,612,1,2021/06/06,2021/06/06,439,439,0.83,612.0,20,1
https://www.youtube.com/channel/UCYoxo4a0Bqccz1ArV76BEkw,漆黒学園,2,180,10,2022/08/10,2022/02/19,9,181,20.17,18.0,2,10
https://www.youtube.com/channel/UC_O53XdRWvRrnXjjMoySJww,ishiヒロ,200,196099,26,2019/07/15,2016/06/29,1131,2242,4.23,7542.3,200,26
https://www.youtube.com/channel/UC0oY_sO4SwHu3TLdlNGKzjQ,IDuki,18,268,7,2022/02/11,2022/02/11,189,189,13.52,38.3,18,7
https://www.youtube.com/channel/UCSjwWuHnPr_H5ID8YZZKvqA,グラスラント共和国軍広報部,93,15410,10,2022/08/18,2022/02/17,1,183,19.95,1541.0,93,10
https://www.youtube.com/channel/UCycO65x9mNsnsw-MHnDF2oA,マイクラ0824mk,5,112,1,2021/11/12,2021/11/12,280,280,1.30,112.0,5,1
https://www.youtube.com/channel/UC1Zf-vlbX-kO7xeDbVdpyGA,サブメ,16,983,5,2022/05/31,2022/04/12,80,129,14.15,196.6,16,5
https://www.youtube.com/channel/UCTMiUsoN3AVR78g_yGaVP9g,Spoje,3,530,13,2022/08/11,2021/11/13,8,279,17.01,40.8,3,13
https://www.youtube.com/channel/UCQ-FxaFO-fLi1iTNFF4agSg,アルス_シエル,18,3124,16,2022/06/22,2021/11/21,58,271,21.55,195.3,18,16
https://www.youtube.com/channel/UC5e9yriDZYpx9OjcGBJG3DA,葡萄ゼリー,10,292,3,2022/06/14,2022/06/07,66,73,15.00,97.3,10,3
https://www.youtube.com/channel/UCD9MIxnp4LpVlzTNEO3kGng,toriyami,16,4220,152,2022/05/20,2019/02/12,91,1284,43.21,27.8,16,152
https://www.youtube.com/channel/UCbSuVnxvLTo0liu2Tzk-J_g,ラプターのゲーム部屋,53,11167,14,2022/08/07,2022/06/28,12,52,98.27,797.6,53,14
https://www.youtube.com/channel/UC85JwS_Tpn_80YBUOaBXUsA,わからない,5,137,1,2022/04/10,2022/04/10,131,131,2.79,137.0,5,1
https://www.youtube.com/channel/UCgZeOetYTGGhzeh0y7x_Z2Q,KAIO NAVY,147,7768,7,2022/08/07,2022/07/01,12,49,52.14,1109.7,147,7
https://www.youtube.com/channel/UC75k61EbgM9edKy7c9eF3Qw,ゆっくり火炎,26,1117,13,2022/07/25,2020/09/26,25,692,6.86,85.9,26,13
https://www.youtube.com/channel/UCoWdoliWbUYdQBT2Poq5GGQ,Henekelu,7,387,3,2022/07/29,2022/07/29,21,21,52.14,129.0,7,3
https://www.youtube.com/channel/UC0i2yREUaFwChUTE3DH6YGw,塩ラーメンch,162,52891,32,2022/07/19,2020/04/11,31,860,13.58,1652.8,162,32
https://www.youtube.com/channel/UCVUpe_ztNbz_-F28OAU2JvA,Bur10ger,25,11703,5,2022/07/31,2022/07/31,19,19,96.05,2340.6,25,5
https://www.youtube.com/channel/UCLUu3zC6to646jAdVZBIOwA,たなばた,28,660,3,2022/05/06,2021/11/13,105,279,3.92,220.0,28,3
